STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VN130174,MYBVN1301743,TELEKOM IMTN 3.930% 23.06.2023,02-JAN-2020,3.555,3.515,3.475,101.214,101.345,101.476,3.222,12.336,-.008,-.008,-.008,.024,.024,.024,0
VG170229,MYBVG1702290,WESTPORTS IMTN 4.220% 07.08.2020,02-JAN-2020,3.39,3.345,3.3,100.484,100.511,100.537,.578,.623,-.01,-.01,-.01,.001,.002,.001,0
VK140094,MYBVK1400947,WESTPORTS IMTN 4.600% 02.04.2021,02-JAN-2020,3.5,3.455,3.41,101.328,101.383,101.438,1.195,2.041,-.009,-.009,-.009,.006,.005,.005,0
VN110050,MYBVN1100509,WESTPORTS IMTN 4.95% 03.05.2021,02-JAN-2020,3.516,3.471,3.426,101.85,101.909,101.968,1.277,2.287,-.007,-.007,-.007,.002,.002,.001,0
VH170393,MYBVH1703932,WESTPORTS IMTN 4.530% 13.12.2021,02-JAN-2020,3.585,3.54,3.495,101.759,101.843,101.928,1.848,4.392,0,0,0,-.005,-.006,-.006,0
VL140093,MYBVL1400937,WESTPORTS IMTN 4.68% 01.04.2022,02-JAN-2020,3.616,3.571,3.526,102.27,102.368,102.466,2.098,5.583,0,0,0,-.006,-.006,-.006,0
VO110051,MYBVO1100515,WESTPORTS IMTN 5.1% 03.05.2022,02-JAN-2020,3.621,3.581,3.541,103.278,103.369,103.46,2.177,5.97,.001,.001,.001,-.01,-.01,-.01,1.7
VI170394,MYBVI1703948,WESTPORTS IMTN 4.580% 13.12.2022,02-JAN-2020,3.676,3.631,3.586,102.5,102.626,102.753,2.735,9.086,0,0,0,-.004,-.005,-.005,0
VM140092,MYBVM1400927,WESTPORTS IMTN 4.750% 03.04.2023,02-JAN-2020,3.688,3.653,3.618,103.221,103.329,103.438,2.968,10.697,-.001,-.001,-.001,-.002,-.002,-.002,2.3
VP110052,MYBVP1100520,WESTPORTS IMTN 5.15% 03.05.2023,02-JAN-2020,3.708,3.663,3.618,104.48,104.624,104.768,3.034,11.154,-.001,-.001,-.001,-.003,-.004,-.004,0
VN140091,MYBVN1400917,WESTPORTS IMTN 4.85% 03.04.2024,02-JAN-2020,3.775,3.73,3.685,104.18,104.36,104.54,3.788,17.146,-.001,-.001,-.001,-.001,-.001,-.002,0
VQ110053,MYBVQ1100536,WESTPORTS IMTN 5.250% 03.05.2024,02-JAN-2020,3.778,3.738,3.698,105.83,105.994,106.159,3.845,17.658,-.001,-.001,-.001,-.003,-.003,-.003,1.7
VO130252,MYBVO1302525,WESTPORTS IMTN 4.580% 23.10.2024,02-JAN-2020,3.797,3.762,3.727,103.405,103.561,103.717,4.261,21.48,-.001,-.001,-.001,.001,.001,.001,2
VP130115,MYBVP1301151,WESTPORTS IMTN 4.430% 01.04.2025,02-JAN-2020,3.813,3.783,3.753,102.903,103.047,103.192,4.61,25.107,0,0,0,-.003,-.003,-.003,3
VR110054,MYBVR1100542,WESTPORTS IMTN 5.320% 02.05.2025,02-JAN-2020,3.836,3.791,3.746,107.09,107.314,107.539,4.613,25.325,0,0,0,-.006,-.007,-.007,0
VP130251,MYBVP1302514,WESTPORTS IMTN 4.680% 23.10.2025,02-JAN-2020,3.858,3.823,3.788,104.234,104.419,104.605,5.029,29.866,-.001,-.001,-.001,.002,.001,.001,2.7
VQ130116,MYBVQ1301167,WESTPORTS IMTN 4.480% 01.04.2026,02-JAN-2020,3.901,3.856,3.811,103.177,103.429,103.682,5.37,34.05,0,0,0,-.002,-.003,-.003,0
VS110055,MYBVS1100557,WESTPORTS IMTN 5.380% 30.04.2026,02-JAN-2020,3.892,3.857,3.822,108.281,108.486,108.691,5.35,34.114,0,0,0,-.007,-.006,-.006,2.3
VQ130250,MYBVQ1302504,WESTPORTS IMTN 4.760% 23.10.2026,02-JAN-2020,3.931,3.886,3.841,104.903,105.178,105.453,5.758,39.278,0,0,0,-.004,-.003,-.004,0
VR130117,MYBVR1301173,WESTPORTS IMTN 4.530% 01.04.2027,02-JAN-2020,3.957,3.912,3.867,103.574,103.861,104.15,6.093,44.002,0,0,0,-.002,-.003,-.002,0
VR130249,MYBVR1302494,WESTPORTS IMTN 4.840% 22.10.2027,02-JAN-2020,3.981,3.936,3.891,105.708,106.018,106.329,6.449,49.546,0,0,0,-.003,-.003,-.003,0
VN170395,MYBVN1703955,WESTPORTS IMTN 4.900% 13.12.2027,02-JAN-2020,3.992,3.947,3.902,106.128,106.443,106.76,6.577,51.308,0,0,0,-.004,-.004,-.004,0
VS130118,MYBVS1301189,WESTPORTS IMTN 4.580% 31.03.2028,02-JAN-2020,3.998,3.963,3.928,104.048,104.298,104.549,6.782,54.836,-.001,-.001,-.001,.004,.004,.004,2.3
VS130248,MYBVS1302484,WESTPORTS IMTN 4.900% 23.10.2028,02-JAN-2020,4.043,3.998,3.953,106.291,106.634,106.979,7.11,60.674,0,0,0,-.003,-.004,-.004,0
VM110205,MYBVM1102051,RP II IMTN 5.400% 17.06.2020,02-JAN-2020,3.635,3.594,3.553,100.788,100.807,100.826,.449,.403,-.01,-.011,-.012,-.006,-.005,-.004,0
