STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VN190085,MYBVN1900858,IJM IMTN 4.760% 10.04.2029,04-MAY-2020,4.07,3.966,3.862,105.122,105.922,106.728,7.268,62.933,-.038,-.033,-.028,.285,.249,.21,1.7
VK140108,MYBVK1401085,MIDCITISUKUK IMTN 4.550% 23.04.2021,04-MAY-2020,3.116,3.001,2.886,101.359,101.469,101.579,.945,1.363,-.021,-.021,-.021,.005,.004,.002,0
VN140109,MYBVN1401097,MIDCITISUKUK IMTN 4.800% 25.04.2024,04-MAY-2020,3.248,3.133,3.018,105.744,106.185,106.628,3.617,15.511,-.02,-.02,-.02,.062,.061,.06,0
VK190089,MYBVK1900896,MIDCITISUKUK IMTN 4.200% 24.04.2026,04-MAY-2020,3.368,3.253,3.138,104.467,105.102,105.742,5.272,32.335,-.025,-.025,-.025,.131,.13,.13,0
VI150077,MYBVI1500773,SCC IMTN 4.700% 08.05.2020,04-MAY-2020,2.909,2.803,2.697,100.021,100.023,100.024,.012,0,-.021,-.026,-.031,-.019,-.019,-.02,2.7
VF180367,MYBVF1803678,SCC IMTN 4.410% 18.12.2020,04-MAY-2020,3.164,3.048,2.932,100.758,100.83,100.901,.602,.664,-.015,-.02,-.025,-.004,-.002,0,0
VF190061,MYBVF1900615,SCC IMTN 4.345% 26.03.2021,04-MAY-2020,3.193,3.077,2.961,101.004,101.106,101.208,.869,1.189,-.015,-.02,-.025,.001,.004,.007,0
VK140202,MYBVK1402026,SCC IMTN 5.100% 23.07.2021,04-MAY-2020,3.229,3.113,2.997,102.217,102.357,102.497,1.166,1.962,-.017,-.022,-.027,.002,.006,.011,0
VG180261,MYBVG1802611,SCC IMTN 4.533% 17.09.2021,04-MAY-2020,3.251,3.135,3.019,101.699,101.855,102.012,1.315,2.403,-.016,-.021,-.026,.008,.014,.02,0
VK150027,MYBVK1500274,SCC IMTN 4.900% 16.02.2022,04-MAY-2020,3.288,3.177,3.066,102.77,102.965,103.16,1.69,3.762,-.015,-.02,-.025,.01,.018,.025,1.3
VK150067,MYBVK1500670,SCC IMTN 05.05.2022,04-MAY-2020,3.291,3.19,3.089,102.846,103.044,103.242,1.863,4.538,-.02,-.02,-.02,.025,.024,.022,3.3
VL150141,MYBVL1501411,SCC IMTN 4.835% 23.06.2023,04-MAY-2020,3.399,3.283,3.167,104.233,104.585,104.938,2.857,10.008,-.015,-.02,-.025,.032,.046,.06,0
VK190106,MYBVK1901068,SCC IMTN 4.450% 19.06.2026,04-MAY-2020,3.563,3.462,3.361,104.839,105.407,105.979,5.275,32.966,-.057,-.057,-.057,.313,.313,.314,3.7
VK190227,MYBVK1902272,SCC IMTN 4.145% 23.10.2026,04-MAY-2020,3.615,3.499,3.383,103.032,103.71,104.394,5.651,37.162,-.047,-.052,-.057,.269,.299,.33,0
VM190237,MYBVM1902377,SCC IMTN 4.180% 15.11.2028,04-MAY-2020,3.781,3.665,3.549,102.885,103.743,104.609,7.028,58.948,-.046,-.051,-.056,.335,.375,.415,0
VN190118,MYBVN1901187,SCC IMTN 4.330% 24.07.2029,04-MAY-2020,3.822,3.716,3.61,103.912,104.753,105.601,7.518,67.404,-.046,-.051,-.056,.358,.401,.444,2
VZ140130,MYBVZ1401307,SDEB IMTN 31.12.2038 - SERIES 1,04-MAY-2020,5.802,5.592,5.382,101.465,104.362,107.357,13.381,212.854,0,0,0,.049,.049,.048,0
