STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VS130305,MYBVS1303052,KESTURI IMTN 4.75% 01.12.2028 - IMTN 10,02-DEC-2019,4.293,4.231,4.169,103.381,103.85,104.322,7.305,63.527,0,0,0,-.002,-.002,-.002,2
VT130306,MYBVT1303068,KESTURI IMTN 4.75% 30.11.2029 - IMTN 11,02-DEC-2019,4.336,4.274,4.212,103.331,103.841,104.355,7.772,74.122,-.001,-.001,-.001,.006,.006,.006,2.3
VU130307,MYBVU1303074,KESTURI IMTN 5.25% 02.12.2030 - IMTN 12,02-DEC-2019,4.38,4.313,4.246,107.53,108.139,108.751,8.224,84.59,0,0,0,-.004,-.003,-.004,1.3
VV130308,MYBVV1303080,KESTURI IMTN 5.25% 02.12.2031 - IMTN 13,02-DEC-2019,4.407,4.345,4.283,107.791,108.394,109,8.779,97.272,-.001,-.001,-.001,.006,.007,.006,2
VW130309,MYBVW1303096,KESTURI IMTN 5.25% 02.12.2032 - IMTN 14,02-DEC-2019,4.474,4.407,4.34,107.587,108.275,108.969,9.3,110.257,0,0,0,-.002,-.003,-.003,1.7
VX130310,MYBVX1303102,KESTURI IMTN 5.25% 02.12.2033 - IMTN 15,02-DEC-2019,4.528,4.466,4.404,107.426,108.096,108.771,9.794,123.552,0,0,0,-.002,-.002,-.003,2
PH130069,MYBPH1300699,KMCOB Bonds (Series E),02-DEC-2019,3.978,3.929,3.88,100.022,100.023,100.025,.03,.015,-.01,-.008,-.006,-.005,-.006,-.006,0
PI130068,MYBPI1300689,KMCOB Bonds (Series F),02-DEC-2019,4.159,4.11,4.061,100.742,100.791,100.841,.98,1.468,-.003,-.001,.001,-.002,-.005,-.007,0
VK130328,MYBVK1303281,TELEKOM IMTN 4.300% 18.12.2020,02-DEC-2019,3.317,3.268,3.219,100.998,101.048,101.098,.995,1.504,-.002,0,.002,-.005,-.008,-.011,0
VK150133,MYBVK1501330,TELEKOM IMTN 4.230% 10.06.2022,02-DEC-2019,3.461,3.412,3.363,101.84,101.959,102.078,2.332,6.828,-.002,0,.002,-.001,-.006,-.011,0
VI180248,MYBVI1802484,TELEKOM IMTN 4.342% 25.08.2023,02-DEC-2019,3.537,3.498,3.459,102.784,102.922,103.06,3.39,13.762,-.002,0,.002,.001,-.006,-.013,2.7
VN140053,MYBVN1400537,TELEKOM IMTN 4.820% 21.03.2024,02-DEC-2019,3.571,3.532,3.493,104.936,105.095,105.254,3.846,17.612,-.002,0,.002,0,-.009,-.018,2.3
VN140167,MYBVN1401675,TELEKOM IMTN 4.738% 27.06.2024,02-DEC-2019,3.586,3.547,3.508,104.811,104.979,105.147,4.021,19.4,-.002,0,.002,.001,-.008,-.017,2
VN140335,MYBVN1403358,TELEKOM IMTN 4.550% 07.10.2024,02-DEC-2019,3.6,3.566,3.532,104.186,104.34,104.494,4.31,21.915,-.002,0,.002,.002,-.007,-.016,3.3
VN140416,MYBVN1404166,TELEKOM IMTN 4.550% 20.12.2024,02-DEC-2019,3.615,3.576,3.537,104.277,104.46,104.644,4.413,23.247,-.002,0,.002,.003,-.007,-.016,2.3
VN150272,MYBVN1502720,TELEKOM IMTN 4.88% 28.11.2025,02-DEC-2019,3.669,3.625,3.581,106.458,106.702,106.946,5.196,31.707,-.002,0,.002,.003,-.008,-.02,1.7
VN170241,MYBVN1702411,TELEKOM IMTN 4.580% 03.09.2027,02-DEC-2019,3.742,3.703,3.664,105.589,105.859,106.129,6.463,49.589,-.002,0,.002,.008,-.005,-.019,2.3
VN180190,MYBVN1801908,TELEKOM IMTN 4.730% 18.05.2028,02-DEC-2019,3.788,3.744,3.7,106.764,107.093,107.423,6.984,57.774,-.002,0,.002,.009,-.006,-.022,1.7
VJ130331,MYBVJ1303317,MALAKOFF POW IMTN 5.050% 17.12.2019,02-DEC-2019,3.244,3.182,3.12,100.069,100.071,100.074,.04,.003,-.005,-.005,-.005,-.014,-.015,-.015,2.7
VK130330,MYBVK1303307,MALAKOFF POW IMTN 5.150% 17.12.2020,02-DEC-2019,3.498,3.431,3.364,101.671,101.74,101.808,.986,1.485,-.001,-.001,-.001,-.011,-.012,-.013,1.7
VL130329,MYBVL1303297,MALAKOFF POW IMTN 5.250% 17.12.2021,02-DEC-2019,3.669,3.607,3.545,103.078,103.201,103.325,1.884,4.637,-.001,-.001,-.001,-.01,-.011,-.011,2
VM130345,MYBVM1303451,MALAKOFF POW IMTN 5.350% 16.12.2022,02-DEC-2019,3.792,3.725,3.658,104.428,104.624,104.82,2.732,9.278,-.001,-.001,-.001,-.008,-.008,-.009,1.7
VN130344,MYBVN1303442,MALAKOFF POW IMTN 5.450% 15.12.2023,02-DEC-2019,3.893,3.821,3.749,105.76,106.036,106.312,3.535,15.242,0,0,0,-.01,-.011,-.012,0
VO130343,MYBVO1303432,MALAKOFF POW IMTN 5.550% 17.12.2024,02-DEC-2019,3.958,3.886,3.814,107.207,107.548,107.89,4.302,22.446,0,0,0,-.011,-.011,-.011,0
VP130342,MYBVP1303421,MALAKOFF POW IMTN 5.650% 17.12.2025,02-DEC-2019,3.998,3.926,3.854,108.785,109.188,109.594,5.023,30.637,0,0,0,-.01,-.011,-.011,0
VQ130341,MYBVQ1303411,MALAKOFF POW IMTN 5.750% 17.12.2026,02-DEC-2019,4.036,3.964,3.892,110.411,110.876,111.343,5.705,39.714,0,0,0,-.01,-.01,-.011,0
VR130340,MYBVR1303401,MALAKOFF POW IMTN 5.850% 17.12.2027,02-DEC-2019,4.069,4.007,3.945,112.107,112.559,113.014,6.348,49.541,0,0,0,-.01,-.011,-.011,2
VS130339,MYBVS1303391,MALAKOFF POW IMTN 5.950% 15.12.2028,02-DEC-2019,4.119,4.052,3.985,113.695,114.238,114.784,6.949,59.921,0,0,0,-.01,-.01,-.011,1.7
VT130338,MYBVT1303381,MALAKOFF POW IMTN 6.050% 17.12.2029,02-DEC-2019,4.165,4.098,4.031,115.336,115.933,116.533,7.525,70.974,0,0,0,-.01,-.01,-.011,1.7
VU130337,MYBVU1303371,MALAKOFF POW IMTN 6.150% 17.12.2030,02-DEC-2019,4.192,4.13,4.068,117.161,117.762,118.367,8.066,82.405,0,0,0,-.009,-.01,-.01,2
VV130336,MYBVV1303361,MALAKOFF POW IMTN 6.250% 17.12.2031,02-DEC-2019,4.239,4.167,4.095,118.808,119.561,120.32,8.575,94.166,-.001,-.001,-.001,.001,0,0,0
VG170167,MYBVG1701672,IMTIAZ II IMTN 4.460% 29.05.2020,02-DEC-2019,3.386,3.355,3.324,100.519,100.534,100.549,.484,.468,-.001,-.001,-.001,-.009,-.009,-.009,2
VG170322,MYBVG1703223,IMTIAZ II IMTN 4.450% 16.10.2020,02-DEC-2019,3.439,3.403,3.367,100.857,100.888,100.919,.846,1.137,-.001,-.001,-.001,-.007,-.007,-.008,1.7
VK140367,MYBVK1403677,IMTIAZ II IMTN 4.650% 24.11.2021,02-DEC-2019,3.58,3.554,3.528,102.025,102.075,102.125,1.878,4.522,-.001,-.001,-.001,-.007,-.007,-.007,3
VI170168,MYBVI1701686,IMTIAZ II IMTN 4.580% 27.05.2022,02-DEC-2019,3.673,3.642,3.611,102.136,102.21,102.284,2.336,6.749,-.001,-.001,-.001,-.005,-.005,-.005,2.3
VI170323,MYBVI1703237,IMTIAZ II IMTN 4.570% 17.10.2022,02-DEC-2019,3.749,3.718,3.687,102.213,102.298,102.383,2.664,8.666,0,0,0,-.006,-.007,-.007,2
UN170035,MYBUN1700359,AMBANK MTN 3652D 15.3.2027 (SUB-NOTES),02-DEC-2019,3.777,3.715,3.653,103.078,103.215,103.353,2.123,5.708,0,0,0,-.011,-.012,-.011,2.7
UN170161,MYBUN1701613,AMBANK MTN 3651D 15.10.2027 (SUB-NOTES),02-DEC-2019,3.865,3.793,3.721,102.785,102.983,103.181,2.653,8.615,0,0,0,-.008,-.008,-.009,0
UN180026,MYBUN1800266,AMBANK MTN 3652D 23.2.2028,02-DEC-2019,3.884,3.812,3.74,104.04,104.262,104.484,2.921,10.436,0,0,0,-.009,-.01,-.011,0
UN180034,MYBUN1800340,AMBANK MTN 3653D 14.3.2028,02-DEC-2019,3.885,3.818,3.751,104.099,104.308,104.519,2.975,10.769,0,0,0,-.009,-.011,-.011,1.7
UN180216,MYBUN1802163,AMBANK MTN 3653D 15.11.2028,02-DEC-2019,4.029,3.962,3.895,103.442,103.69,103.938,3.566,15.137,0,0,0,-.007,-.007,-.008,1.3
VJ130383,MYBVJ1303838,BGSM MGMT IMTN 6.600% 27.12.2019 - Issue No 5,02-DEC-2019,3.418,3.361,3.304,100.207,100.21,100.214,.067,.009,0,0,0,-.025,-.026,-.027,3
VK130386,MYBVK1303869,BGSM MGMT IMTN 5.250% 24.12.2020 - Issue No 8,02-DEC-2019,3.605,3.543,3.481,101.698,101.763,101.828,1.008,1.54,0,0,0,-.013,-.013,-.014,2
VG170404,MYBVG1704049,BGSM MGMT IMTN 4.485% 28.12.2020 - Issue No 14,02-DEC-2019,3.615,3.543,3.471,100.903,100.978,101.054,1.019,1.565,0,0,0,-.006,-.007,-.007,0
VH170239,MYBVH1702397,BGSM MGMT IMTN 4.670% 27.08.2021 - Issue No 12,02-DEC-2019,3.686,3.624,3.562,101.633,101.738,101.842,1.638,3.558,0,0,0,-.008,-.008,-.009,2
VG180272,MYBVG1802728,BGSM MGMT IMTN 4.580% 28.09.2021 - Issue No 15,02-DEC-2019,3.699,3.627,3.555,101.534,101.661,101.788,1.725,3.893,0,0,0,-.007,-.007,-.008,0
VM130384,MYBVM1303840,BGSM MGMT IMTN 7.100% 28.12.2022 - Issue No 6,02-DEC-2019,3.818,3.756,3.694,109.419,109.607,109.796,2.699,9.186,0,0,0,-.023,-.024,-.024,2.7
VI180273,MYBVI1802732,BGSM MGMT IMTN 4.680% 28.09.2023 - Issue No 16,02-DEC-2019,3.891,3.829,3.767,102.772,102.994,103.217,3.456,14.28,0,0,0,-.006,-.006,-.006,2
VN130387,MYBVN1303871,BGSM MGMT IMTN 5.600% 27.12.2023 - Issue No 9,02-DEC-2019,3.91,3.848,3.786,106.295,106.535,106.776,3.557,15.43,0,0,0,-.011,-.012,-.012,2
VN140164,MYBVN1401642,BGSM MGMT IMTN 5.450% 28.06.2024 - Issue No 10,02-DEC-2019,3.962,3.895,3.828,106.161,106.449,106.738,3.958,18.988,0,0,0,-.01,-.011,-.011,1.7
VL170240,MYBVL1702407,BGSM MGMT IMTN 4.920% 29.08.2025 - Issue No 13,02-DEC-2019,4.04,3.978,3.916,104.462,104.786,105.11,4.931,28.911,0,0,0,-.006,-.006,-.007,2
VN160032,MYBVN1600326,BGSM MGMT IMTN 5.350% 09.03.2026 - Issue No 11,02-DEC-2019,4.09,4.023,3.956,106.9,107.283,107.667,5.278,33.309,0,0,0,-.008,-.008,-.009,1.7
PO140001,MYBPO1400016,TNB WE 5.060% 30.07.2024 - Tranche 1,02-DEC-2019,3.683,3.634,3.585,105.839,106.055,106.271,4.082,19.98,-.002,0,.002,-.001,-.009,-.018,0
PO140002,MYBPO1400024,TNB WE 5.100% 30.01.2025 - Tranche 2,02-DEC-2019,3.717,3.668,3.619,106.432,106.669,106.906,4.466,23.869,-.002,0,.002,.001,-.009,-.02,0
PP140003,MYBPP1400039,TNB WE 5.140% 30.07.2025 - Tranche 3,02-DEC-2019,3.741,3.697,3.653,107.069,107.301,107.534,4.84,28.026,-.002,0,.002,.001,-.009,-.02,1.7
PP140004,MYBPP1400047,TNB WE 5.180% 30.01.2026 - Tranche 4,02-DEC-2019,3.772,3.723,3.674,107.667,107.947,108.227,5.204,32.433,-.002,0,.002,.002,-.009,-.021,0
PQ140005,MYBPQ1400052,TNB WE 5.210% 30.07.2026 - Tranche 5,02-DEC-2019,3.787,3.748,3.709,108.3,108.538,108.778,5.56,37.086,-.007,0,.007,.034,-.01,-.053,2.7
PQ140006,MYBPQ1400060,TNB WE 5.230% 29.01.2027 - Tranche 6,02-DEC-2019,3.821,3.772,3.723,108.743,109.063,109.384,5.906,41.942,-.002,0,.002,.005,-.009,-.023,0
PR140007,MYBPR1400076,TNB WE 5.260% 30.07.2027 - Tranche 7,02-DEC-2019,3.847,3.798,3.749,109.29,109.63,109.972,6.247,47.058,-.002,0,.002,.005,-.009,-.023,0
PR140008,MYBPR1400084,TNB WE 5.290% 28.01.2028 - Tranche 8,02-DEC-2019,3.871,3.822,3.773,109.834,110.194,110.556,6.571,52.26,-.002,0,.002,.006,-.009,-.023,0
PS140009,MYBPS1400090,TNB WE 5.320% 28.07.2028 - Tranche 9,02-DEC-2019,3.894,3.845,3.796,110.384,110.764,111.145,6.892,57.712,-.002,0,.002,.007,-.008,-.024,0
PS140010,MYBPS1400108,TNB WE 5.350% 30.01.2029 - Tranche 10,02-DEC-2019,3.915,3.871,3.827,110.949,111.307,111.667,7.209,63.404,-.002,0,.002,.008,-.008,-.025,1.3
PT140011,MYBPT1400114,TNB WE 5.370% 30.07.2029 - Tranche 11,02-DEC-2019,3.943,3.894,3.845,111.364,111.781,112.2,7.516,69.203,-.002,0,.002,.01,-.008,-.026,0
PT140012,MYBPT1400122,TNB WE 5.440% 30.01.2030 - Tranche 12,02-DEC-2019,3.972,3.928,3.884,112.166,112.558,112.952,7.802,74.966,-.002,0,.002,.009,-.009,-.026,1.3
PU140013,MYBPU1400138,TNB WE 5.460% 30.07.2030 - Tranche 13,02-DEC-2019,3.991,3.947,3.903,112.645,113.054,113.464,8.093,81.032,-.002,0,.002,.01,-.008,-.027,1.3
